Path,isLeak,Mic,Bandwidth,Rolloff,Flatness,Centroid 0-4kHz,Centroid 4-8kHz,Centroid 8-12kHz,Centroid 12-16kHz,Centroid 16-20kHz,Centroid 20-24kHz,RMS 0-4kHz,RMS 4-8kHz,RMS 8-12kHz,RMS 12-16kHz,RMS 16-20kHz,RMS 20-24kHz,PSD >20kHz,MAX_AMP >20kHz,RMS 4-20kHz
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_1l_.wav,0,1,0.0783418149366673,0.1054655436050034,0.026616848130435,0.5670336657010043,0.2186601048934635,0.2257888803219709,0.2684670620999931,0.1087332956312332,0.1992076962447709,0.1183101191572491,0.0800289387519819,0.063480317996125,0.0165621425854632,0.0051129048850038,0.0013571830979452,5.083022700106478e-06,0.0094249813719635,0.079780222261024
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_1m_.wav,0,1,0.4081115030116534,0.2393145818067617,0.1822151408856843,0.6537488520637557,0.1669035340918079,0.2474300415140025,0.5230214722862964,0.4789680530479489,0.7573074651835452,0.9366124151329782,0.8219659594663559,0.6960777820948442,0.2605406379837467,0.1559235882927705,0.1245767400056553,0.020816702528477,0.3177510636789902,0.8186922419125285
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_2l_.wav,0,2,0.0872649734042986,0.1061329044829451,0.0181284465254306,0.5934530137236046,0.2481960883689333,0.2683634483557539,0.2814560463457313,0.1405776362599186,0.2383713673403269,0.0756896362490263,0.0500019601103043,0.0446240803417209,0.0100492669331948,0.0036059734515515,0.0009547486712167,2.1703552726138697e-06,0.0056929861876223,0.0506741936694556
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_2m_.wav,0,2,0.2656560913890829,0.1588308599269973,0.0962552109554229,0.6175741292947035,0.2035245795449768,0.2732401858370898,0.384120924579528,0.3039316673714651,0.7523915281007378,0.6323888849135403,0.4615404445980909,0.4145755912679587,0.1202223248636102,0.0507540142729559,0.0330449419479468,0.002667016627373,0.2499615743373388,0.4667188418730118
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_3l_.wav,0,3,0.1004221333230701,0.1078497230552185,0.0203487182007528,0.542723727726192,0.1980647309131203,0.2792492282185745,0.2591402410375835,0.0713980460520388,0.1475943684273862,0.0858386264451553,0.0533200656680782,0.038222548807454,0.0099591306303374,0.0036693140975059,0.0009112768272387,2.574729162141151e-06,0.007656815723641,0.052545258290497
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_3m_.wav,0,3,0.1558140704629742,0.1257480800914657,0.0380399393769627,0.5495292310207256,0.2149414031822181,0.272257935701784,0.2999158911881671,0.1852174662547529,0.6346834011239105,0.3783461494494477,0.2604793777803447,0.1862489941924843,0.0517863274156656,0.0176696769218786,0.0058293977216917,0.0001230481523416,0.115025502018251,0.2570320490648056
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_4l_.wav,0,4,0.0681360940666588,0.1046882644648126,0.0231501685859521,0.6002353888968034,0.2760135311273678,0.2659512060311547,0.2563399375598427,0.1179729959414598,0.214600550925587,0.0677445734682492,0.0473581223413451,0.0390953516346207,0.0092035302303767,0.0030490987724006,0.0008073785318427,1.7039571518569945e-06,0.0072693843132033,0.0475492825136349
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_4m_.wav,0,4,0.2708836332808458,0.1593411947160114,0.0732379568775956,0.6326975547800683,0.2078232025409422,0.2740814795357372,0.3872955703264703,0.319919803784473,0.7384564755820913,0.6520112376971875,0.5180960606138342,0.4534325649984059,0.1269465180324102,0.0589039917257403,0.0391767642535307,0.0049325319667215,0.2230264299953097,0.5245785731413022
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_1l_.wav,0,1,0.0781977372851571,0.0965901843495445,0.0109860145773011,0.6186484495079996,0.0804433590928235,0.2507258477702012,0.2523668592023799,0.1975298072324729,0.1805523464639527,0.1257000761123317,0.0810752252563438,0.0632672486131851,0.0153938243784271,0.0052683659876396,0.0013874668814833,4.581587308593701e-06,0.0095354289888671,0.0805566390807477
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_1m_.wav,0,1,0.4146873987264822,0.2285091711253867,0.1411983545460446,0.6881107027294271,0.0940906325520087,0.2546870651571049,0.524742294014673,0.4994894450506347,0.7643872722418676,0.954214759105225,0.824813448002303,0.6866463693087574,0.2581037985518719,0.1564125908819107,0.1239225246822303,0.0195957154059292,0.2874063198690543,0.8197811631919193
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_2l_.wav,0,2,0.0868569884254365,0.0946964975878613,0.0233201047876574,0.6464571699126027,0.0981929714949556,0.3042576405887625,0.270283770849589,0.2436832254568449,0.2064163884945061,0.0785111382774891,0.0518888121281331,0.0437617050000966,0.0098342182287651,0.003615720055353,0.0009733286205211,2.22741127057556e-06,0.0085942551320006,0.0521391265512386
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_2m_.wav,0,2,0.2854514761393995,0.1593332913704574,0.0670531344175394,0.6596019231099034,0.0908753998388982,0.3026814190103569,0.394969920350772,0.3889155804267204,0.7661552520766687,0.6551674212043515,0.4739905283786288,0.4066896542439687,0.1143728982741644,0.0512248071920034,0.0331894491287275,0.0021335300214155,0.2680531448159823,0.4756114020989543
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_3l_.wav,0,3,0.0991273458152641,0.1029077119694335,0.0211872498029922,0.5961401870656843,0.0535976127622911,0.3335198029731268,0.249462955401672,0.1871074562404825,0.1330283324762076,0.0858572052262874,0.0559475939626395,0.0377690494232805,0.0097715358803062,0.0037609009027926,0.0009462321519788,2.5592153823947543e-06,0.0084835248950604,0.0548667092768878
