Path,isLeak,Mic,Bandwidth,Rolloff,Flatness,Centroid 0-4kHz,Centroid 4-8kHz,Centroid 8-12kHz,Centroid 12-16kHz,Centroid 16-20kHz,Centroid 20-24kHz,RMS 0-4kHz,RMS 4-8kHz,RMS 8-12kHz,RMS 12-16kHz,RMS 16-20kHz,RMS 20-24kHz,PSD >20kHz,MAX_AMP >20kHz,RMS 4-20kHz
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_0.0n_1l_.wav,0,1,0.0466450241075304,0.0940256884674166,0.0098503266700509,0.3738218544679585,0.1443882092161611,0.412457551465165,0.2398160508420523,0.3652481860655824,0.0893441317144653,0.1283483349486432,0.0786484620989152,0.0618375060997499,0.0175231730485902,0.0098845599138222,0.0009316729932089,2.1612369244297323e-06,0.0063414967199933,0.0760655368515469
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_0.0n_1m_.wav,0,1,0.3352222029195491,0.236157379248839,0.1434825100052549,0.4370111312070635,0.107583502680702,0.411894745811816,0.4150722691226999,0.6054706910819326,0.5880551458823732,0.9831331485727138,0.7901821937477632,0.7008698375906478,0.310498949635339,0.3032595076673111,0.0865953402042594,0.0093223770782054,0.2058693157024441,0.7664015338398084
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_0.0n_2l_.wav,0,2,0.0721455083143807,0.1064068184194391,0.0136774686924524,0.3802899245173264,0.1202964803458672,0.4366829232571724,0.2553936952723834,0.3757357522062644,0.1207099699696569,0.0915938062460642,0.0529688105695597,0.0442976500141512,0.0132140199580787,0.0070951919144504,0.0007583531301673,1.4215208418042529e-06,0.0048828624549686,0.0514756827494179
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_0.0n_2m_.wav,0,2,0.2386158091377014,0.1646951111724141,0.0978323501653384,0.4109319179349359,0.1279255514697998,0.4547640894927131,0.31780688140327,0.5155887741789523,0.5914767445007396,0.6949847259355774,0.4622886847741874,0.4439150674307051,0.1462186685875995,0.1181655359166592,0.0282797096287562,0.001367068879446,0.1398028386288931,0.4556699674795776
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_0.0n_3l_.wav,0,3,0.0650707034084077,0.098813436260947,0.0211522126983742,0.3442950364141763,0.1276340798091888,0.4270828242062393,0.2480200758048028,0.3611084209217199,0.0914223353738905,0.1198857706547123,0.0600664091781178,0.0460581888110875,0.0133358854893779,0.0077637707799293,0.0007985737050808,1.7772621229107795e-06,0.0061324299195491,0.0579071428579698
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_0.0n_3m_.wav,0,3,0.1160846495410686,0.1078249733844031,0.0272035560451136,0.3539813226438351,0.1837746379041597,0.4039090027476111,0.2664761012161236,0.464251302849643,0.4706319998253236,0.4576627557621566,0.2354735221811467,0.1836511840832996,0.0610416751631268,0.0336590807562179,0.0049030182189046,6.685039302283781e-05,0.0619687038860878,0.2285409570223697
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_0.0n_4l_.wav,0,4,0.0468409035785206,0.0971003239405413,0.0174102872190733,0.3999614435172275,0.1342536690352211,0.4270667294925458,0.2206044609145533,0.3318716110919869,0.118746382186125,0.0735115751719884,0.0465871057521435,0.0385812699963359,0.0109359236749379,0.0059018503722949,0.0005391361169153,6.955625816012245e-07,0.0043531269413082,0.0453056553531849
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_0.0n_4m_.wav,0,4,0.2455503015293661,0.1742588084652571,0.0722205823089647,0.4196718123635331,0.1141181350600118,0.4144836909879301,0.3651972613677776,0.5037489604972136,0.5847904413277867,0.6684551838487169,0.4874330086604363,0.3883930770754245,0.1403528804897076,0.1026043314606573,0.0230332985948592,0.0010861750312807,0.2034741223153246,0.4708555906616699
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_1.0n_1l_.wav,0,1,0.0351805289103658,0.0946490689663729,0.0102672005386795,0.376060381551861,0.093380836511852,0.4416656572226262,0.2006411169905864,0.3732106420714356,0.1577288979447763,0.1288010383932625,0.0820601381077647,0.0616422237793067,0.0178062799721627,0.0098440642503026,0.0009579313416941,1.9577728353645155e-06,0.0094445322048128,0.0792332815099311
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_1.0n_1m_.wav,0,1,0.3290916648942127,0.2278676668428083,0.126308164257265,0.4340158508279689,0.080885859456683,0.418927632012315,0.4109936585840876,0.6086434607615016,0.5946191056331279,0.978421703121295,0.8110988978603486,0.7375151380484833,0.3216036508268696,0.314331266179931,0.0893095042802453,0.0091075577709758,0.2257778094909084,0.7909491323948192
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/ventleak\hydr\1\1_iO_1.0n_2l_.wav,0,2,0.0550970178401591,0.1050591612474973,0.0170707128165065,0.3851715639476885,0.0798371624580789,0.4522406540198684,0.2329798982161038,0.3544688192153754,0.1921895549037968,0.0906502794765402,0.0550185540108134,0.0450235743809888,0.0131980993547543,0.0069142537023879,0.000761606839918,1.2130008485334543e-06,0.0054678493724841,0.0535216975653208
