Path,isLeak,Mic
C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_1l_.wav,0,1

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_1m_.wav,0,1

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_2l_.wav,0,2

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_2m_.wav,0,2

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_3l_.wav,0,3

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_3m_.wav,0,3

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_4l_.wav,0,4

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_0.0n_4m_.wav,0,4

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_1l_.wav,0,1

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_1m_.wav,0,1

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_2l_.wav,0,2

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_2m_.wav,0,2

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_3l_.wav,0,3

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_3m_.wav,0,3

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_4l_.wav,0,4

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_1.0n_4m_.wav,0,4

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_2.0n_1l_.wav,0,1

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_2.0n_1m_.wav,0,1

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_2.0n_2l_.wav,0,2

C:/Users/Marianne Pettersen/PycharmProjects/SoundAnalysisProject/tubeleak\hydr\1\1_iO_2.0n_2m_.wav,0,2

